Draw,Date,Winning Number 1,2,3,4,5,6,Bonus Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize
612,2014-08-23,6,9,18,19,25,33,40,33,4,2,4,2,2,2,1,1,0,11,1181705250,59,36719655,1833,1181921,86228,50000,1364516,5000
611,2014-08-16,2,22,27,33,36,37,14,36,2,4,3,3,1,0,2,3,0,4,3502706157,47,49683776,1486,1571425,74589,50000,1258998,5000
610,2014-08-09,14,18,20,23,28,36,33,,3,3,1,5,0,3,2,1,0,4,3516018375,34,68941537,1398,1676690,71718,50000,1218676,5000
609,2014-08-02,4,8,27,34,39,40,13,"4,8,39",2,4,2,4,2,0,1,3,0,2,6339311438,47,44959656,1621,1303581,80472,50000,1300134,5000
608,2014-07-26,4,8,18,19,39,44,41,"8,39",4,2,2,4,2,2,0,1,1,7,1943530018,32,70857866,1516,1495681,74353,50000,1243159,5000
607,2014-07-19,8,14,23,36,38,39,13,"14,39",2,4,2,4,1,1,1,3,0,4,3494480907,35,66561542,1448,1608878,73277,50000,1220405,5000
606,2014-07-12,1,5,6,14,20,39,22,1,5,1,3,3,3,2,0,1,0,10,1311566850,44,49680563,1542,1417604,82879,50000,1366588,5000
605,2014-07-05,1,2,7,9,10,38,42,2,5,1,3,3,5,0,0,1,0,9,1394232250,40,52283710,2286,914851,92980,50000,1386335,5000
604,2014-06-28,2,6,18,21,33,34,30,2,4,2,2,4,2,1,1,2,0,11,1229141557,36,62595172,1451,1553016,75476,50000,1266398,5000
603,2014-06-21,2,19,25,26,27,43,28,27,2,4,4,2,1,1,3,0,1,4,3452136563,30,76714146,1363,1688500,71799,50000,1227396,5000
602,2014-06-14,13,14,22,27,30,38,2,,3,3,2,4,0,2,3,1,0,8,1689530860,42,53635901,1675,1344901,77026,50000,1251693,5000
601,2014-06-07,2,16,19,31,34,35,37,,3,3,3,3,1,2,0,3,0,9,1524565209,28,81673137,1516,1508475,72233,50000,1205559,5000
600,2014-05-31,5,11,14,27,29,36,44,"5,29",3,3,4,2,1,2,2,1,0,15,901798725,41,54987728,1518,1485176,77138,50000,1258677,5000
599,2014-05-24,5,12,17,29,34,35,27,12,3,3,4,2,1,2,1,2,0,8,1710918329,43,53051732,1685,1353843,79069,50000,1297530,5000
598,2014-05-17,4,12,24,33,38,45,22,24,2,4,2,4,1,1,1,2,1,16,833998594,50,44479925,2053,1083291,86005,50000,1333411,5000
597,2014-05-10,8,10,23,24,35,43,37,43,2,4,3,3,2,0,2,1,1,13,1057920606,46,49829594,1532,1496189,75553,50000,1260248,5000
596,2014-05-03,3,4,12,14,25,43,17,,4,2,3,3,2,2,1,0,1,10,1328267663,41,53994621,1651,1340872,80007,50000,1313990,5000
595,2014-04-26,8,24,28,35,38,40,5,"8,28",1,5,1,5,1,0,2,3,0,8,1744525219,54,43074697,1501,1549656,77652,50000,1281555,5000
594,2014-04-19,2,8,13,25,28,37,3,13,3,3,3,3,2,1,2,1,0,11,1255592796,42,54807623,1750,1315383,79157,50000,1301802,5000
593,2014-04-12,9,10,13,24,33,38,28,13,3,3,3,3,2,1,1,2,0,9,1532833500,62,37084682,1818,1264715,87413,50000,1383890,5000
592,2014-04-05,2,5,6,13,28,44,43,13,4,2,2,4,3,1,1,0,1,6,2356381688,28,84156489,1406,1675948,75519,50000,1284347,5000
591,2014-03-29,8,13,14,30,38,39,5,"30,38",3,3,2,4,1,2,1,2,0,5,2964676200,38,65014829,1483,1665923,73310,50000,1251393,5000
590,2014-03-22,20,30,36,38,41,45,23,38,1,5,2,4,0,1,1,2,2,7,2185183983,31,82238107,1370,1860863,70019,50000,1221113,5000
589,2014-03-15,6,8,28,33,38,39,22,8,2,4,2,4,2,0,1,3,0,7,2136877983,42,59357722,1559,1599118,77435,50000,1301184,5000
588,2014-03-08,2,8,15,22,25,41,30,,4,2,3,3,2,1,2,0,1,5,2889342075,43,55995002,1676,1436626,78517,50000,1315684,5000
587,2014-03-01,14,21,29,31,32,37,17,21,2,4,4,2,0,1,2,3,0,3,4974577375,43,57843923,1437,1730890,73745,50000,1254438,5000
586,2014-02-22,2,7,12,15,21,34,5,7,5,1,3,3,2,2,1,1,0,8,1778354344,46,51546503,1570,1510280,80965,50000,1346737,5000
585,2014-02-15,6,7,10,16,38,41,4,"7,41",4,2,2,4,3,1,0,1,1,9,1620546334,45,54018212,1528,1590851,79691,50000,1339079,5000
584,2014-02-08,7,18,30,39,40,41,36,40,2,4,3,3,1,1,1,2,1,3,5033183250,32,78643489,1464,1718984,77972,50000,1328119,5000
583,2014-02-01,8,17,27,33,40,44,24,"33,40",2,4,3,3,1,1,1,2,1,11,1341848353,51,48236379,1826,1347238,88583,50000,1445611,5000
582,2014-01-25,2,12,14,33,40,41,25,14,3,3,2,4,1,2,0,2,1,4,3560558719,57,41643962,1631,1455369,79917,50000,1333596,5000
581,2014-01-18,3,5,14,20,42,44,33,5,4,2,2,4,2,2,0,0,2,8,1844554547,39,63061694,1384,1777028,76964,50000,1321056,5000
580,2014-01-11,5,7,9,11,32,35,33,"5,7",4,2,5,1,3,1,0,2,0,7,2028610500,42,56350292,1665,1421449,86352,50000,1401162,5000
579,2014-01-04,5,7,20,22,37,42,39,"5,42",4,2,3,3,2,1,1,1,1,11,1396068444,46,55640409,1769,1446840,85011,50000,1408043,5000
578,2013-12-28,5,12,14,32,34,42,16,34,3,3,1,5,1,2,0,2,1,5,2796466575,43,54195089,1615,1442966,80303,50000,1326822,5000
577,2013-12-21,16,17,22,31,34,37,33,,3,3,3,3,0,2,1,3,0,3,4484438375,42,53386172,1526,1469345,79150,50000,1322032,5000
576,2013-12-14,10,11,15,25,35,41,13,,3,3,5,1,1,2,1,1,1,3,4321966000,54,40018204,1561,1384359,76903,50000,1242512,5000
575,2013-12-07,2,8,20,30,33,34,6,,3,3,1,5,2,1,1,2,0,8,1699267875,45,50348678,1488,1522642,75000,50000,1257969,5000
574,2013-11-30,14,15,16,19,25,43,2,43,4,2,4,2,0,4,1,0,1,2,6965184938,33,70355404,1259,1844106,68910,50000,1184428,5000
573,2013-11-23,2,4,20,34,35,43,14,,3,3,2,4,2,1,0,2,1,8,1645691766,50,43885114,1622,1352809,78997,50000,1308493,5000
572,2013-11-16,3,13,18,33,37,45,1,18,3,3,5,1,1,2,0,2,1,8,1668216188,53,41967703,1734,1282750,81361,50000,1274889,5000
571,2013-11-09,11,18,21,26,38,43,29,26,3,3,3,3,0,2,2,1,1,7,1966538465,33,69524088,1506,1523437,74042,50000,1238061,5000
570,2013-11-02,1,12,26,27,29,33,42,,2,4,4,2,1,1,3,1,0,9,1527791625,38,60307565,1573,1456890,77565,50000,1323078,5000
569,2013-10-26,3,6,13,23,24,35,1,3,3,3,4,2,2,1,2,1,0,4,3467925188,36,64220837,1706,1355188,81582,50000,1329250,5000
568,2013-10-19,1,3,17,20,31,44,40,1,4,2,4,2,2,2,0,1,1,10,1305167550,50,43505585,1845,1179014,87784,50000,1409876,5000
567,2013-10-12,1,10,15,16,32,41,28,,4,2,3,3,2,2,0,1,1,6,2318659438,53,43748292,1547,1498811,76284,50000,1271252,5000
566,2013-10-05,4,5,6,25,26,43,41,4,3,3,3,3,3,0,2,0,1,4,3508951032,35,66837163,1555,1504374,74789,50000,1275890,5000
565,2013-09-28,4,10,18,27,40,45,38,27,3,3,2,4,2,1,1,1,1,8,1742064469,39,59557760,1866,1244777,85438,50000,1384878,5000
564,2013-09-21,14,19,25,26,27,34,2,,2,4,3,3,0,2,3,1,0,7,1934801143,32,70539625,1649,1368871,83100,50000,1358618,5000
563,2013-09-14,5,10,16,17,31,32,21,"17,31",4,2,3,3,2,2,0,2,0,7,1932735643,38,59338375,1642,1373239,79945,50000,1324790,5000
562,2013-09-07,4,11,13,17,20,31,33,,5,1,4,2,1,4,0,1,0,11,1166694614,51,41940003,1789,1195607,85094,50000,1355577,5000
561,2013-08-31,5,7,18,37,42,45,20,45,3,3,4,2,2,1,0,1,2,5,2753712225,41,55969761,1434,1600252,73966,50000,1252562,5000
560,2013-08-24,1,4,20,23,29,45,28,45,3,3,4,2,2,1,2,0,1,7,1976697215,40,57653669,1476,1562431,73123,50000,1235465,5000
559,2013-08-17,11,12,25,32,44,45,23,12,2,4,3,3,0,2,1,1,2,7,1926145608,42,53504045,1566,1434975,73823,50000,1239640,5000
558,2013-08-10,12,15,19,26,40,43,29,"26,40",3,3,3,3,0,3,1,1,1,10,1315913663,51,43003715,1408,1557663,77834,50000,1206457,5000
557,2013-08-03,4,20,26,28,35,40,31,"20,28",2,4,1,5,1,1,2,2,0,7,1888069286,43,51226687,1503,1465568,74569,50000,1238570,5000
556,2013-07-27,12,20,23,28,30,44,43,,2,4,1,5,0,2,3,0,1,7,2005209161,41,57058798,1411,1657981,73689,50000,1257532,5000
555,2013-07-20,11,17,21,24,26,36,12,17,3,3,3,3,0,2,3,1,0,8,1711027360,46,49594996,1554,1468063,78046,50000,1296730,5000
554,2013-07-13,13,14,17,32,41,42,6,17,3,3,3,3,0,3,0,1,2,2,6813893625,41,55397510,1484,1530525,74436,50000,1234010,5000
553,2013-07-06,2,7,17,28,29,39,37,,3,3,4,2,2,1,2,1,0,6,2249631438,52,43262144,1647,1365897,77687,50000,1272468,5000
552,2013-06-29,1,10,20,32,35,40,43,20,3,3,2,4,2,1,0,3,0,10,1330824225,45,49289787,1808,1226793,86409,50000,1347284,5000
551,2013-06-22,3,6,20,24,27,44,25,20,3,3,2,4,2,1,2,0,1,1,13526973750,32,70452989,1440,1565622,77811,50000,1313634,5000
550,2013-06-15,1,7,14,20,34,37,41,,4,2,3,3,2,2,0,2,0,11,1118679205,58,35360550,2728,751801,103421,50000,1328508,5000
549,2013-06-08,29,31,35,38,40,44,17,,0,6,3,3,0,0,1,4,1,8,1760805047,35,67078288,1487,1578844,71700,50000,1213077,5000
548,2013-06-01,1,12,13,21,32,45,14,,4,2,4,2,1,2,1,1,1,8,1736871891,46,50344113,1646,1406944,78057,50000,1291286,5000
547,2013-05-25,6,7,15,22,34,39,28,,4,2,3,3,2,1,1,2,0,5,2838444450,54,43803156,1548,1528018,75527,50000,1256984,5000
546,2013-05-18,8,17,20,27,37,43,6,27,3,3,4,2,1,2,1,1,1,30,405939950,55,36903632,3110,652637,104469,50000,1379107,5000
545,2013-05-11,4,24,25,27,34,35,2,25,1,5,3,3,1,0,3,2,0,11,1198994353,42,52337056,1497,1468375,77301,50000,1306657,5000
544,2013-05-04,5,17,21,25,36,44,10,44,3,3,4,2,1,1,2,1,1,13,1046388433,47,48237765,1527,1484725,74263,50000,1235509,5000
543,2013-04-27,13,18,26,31,34,44,12,26,2,4,2,4,0,2,1,2,1,12,1112934844,47,47358930,1968,1131032,81520,50000,1280433,5000
542,2013-04-20,5,6,19,26,41,45,34,26,3,3,4,2,2,1,1,0,2,6,2335152563,26,89813561,1456,1603814,72242,50000,1236252,5000
541,2013-04-13,8,13,26,28,32,34,43,"13,34",2,4,1,5,1,1,2,2,0,11,1269327171,40,58177496,1444,1611565,73911,50000,1246235,5000
540,2013-04-06,3,12,13,15,34,36,14,3,4,2,3,3,1,3,0,2,0,7,1989365250,26,89266390,1409,1647216,72629,50000,1234194,5000
539,2013-03-30,3,19,22,31,42,43,26,31,3,3,4,2,1,1,1,1,2,9,1621036667,42,57894167,1519,1600761,75592,50000,1270479,5000
538,2013-03-23,6,10,18,31,32,34,11,,3,3,1,5,2,1,0,3,0,3,4688021625,48,48833559,1724,1359636,82529,50000,1347630,5000
537,2013-03-16,12,23,26,30,36,43,11,43,1,5,2,4,0,1,3,1,1,7,2104038911,35,70134631,1444,1699940,75265,50000,1265143,5000
536,2013-03-09,7,8,18,32,37,43,12,18,3,3,3,3,2,1,0,2,1,11,1308523603,40,59973999,1676,1431361,80139,50000,1336621,5000
535,2013-03-02,11,12,14,15,18,39,34,,5,1,3,3,0,5,0,1,0,3,4935603000,31,79606500,1512,1632144,76742,50000,1336486,5000
534,2013-02-23,10,24,26,29,37,38,32,,1,5,2,4,1,0,3,2,0,1,14215763250,55,43078071,1537,1541506,79943,50000,1332446,5000
533,2013-02-16,9,14,15,17,31,33,23,17,4,2,5,1,1,3,0,2,0,8,1785671579,44,54111260,1517,1569477,78509,50000,1333013,5000
532,2013-02-09,16,17,23,24,29,44,3,,2,4,3,3,0,2,3,0,1,7,2216896286,26,99476116,1480,1747554,74186,50000,1288672,5000
531,2013-02-02,1,5,9,21,27,35,45,27,4,2,6,0,3,0,2,1,0,9,1521519750,42,54339992,1618,1410557,78757,50000,1317489,5000
530,2013-01-26,16,23,27,29,33,41,22,27,1,5,5,1,0,1,3,1,1,11,1231656239,40,56450911,1449,1558342,75595,50000,1255300,5000
529,2013-01-19,18,20,24,27,31,42,39,31,2,4,2,4,0,2,2,1,1,8,1749114797,33,70671305,1502,1552699,75069,50000,1282443,5000
528,2013-01-12,5,17,25,31,39,40,10,,2,4,5,1,1,1,1,3,0,11,1197889125,86,25536397,1811,1212662,87443,50000,1366616,5000
527,2013-01-05,1,12,22,32,33,42,38,,3,3,2,4,1,1,1,2,1,13,1032386366,29,77132315,1967,1137183,83212,50000,1287504,5000
526,2012-12-29,7,14,17,20,35,39,31,39,4,2,4,2,1,3,0,2,0,9,1491031959,49,45643836,1539,1453248,78325,50000,1291054,5000
525,2012-12-22,11,23,26,29,39,44,22,"11,29",1,5,4,2,0,1,3,1,1,9,1501132375,41,54919478,1543,1459300,73791,50000,1215973,5000
524,2012-12-15,10,11,29,38,41,45,21,"38,45",2,4,4,2,1,1,1,1,2,4,3491695594,36,64661030,1338,1739759,67866,50000,1163075,5000
523,2012-12-08,1,4,37,38,40,45,7,"4,37",2,4,3,3,2,0,0,3,1,7,1780355840,43,48304229,1557,1334029,79706,50000,1247454,5000
522,2012-12-01,4,5,13,14,37,41,11,,4,2,4,2,2,2,0,1,1,6,2281623000,39,58503154,1495,1526170,76078,50000,1293961,5000
521,2012-11-24,3,7,18,29,32,36,19,,3,3,3,3,2,1,1,2,0,8,1693420922,53,42601785,1612,1400679,75589,50000,1250016,5000
520,2012-11-17,4,22,27,28,38,40,1,,2,4,1,5,1,0,3,2,0,6,2167205438,37,58573120,1627,1332026,77196,50000,1260891,5000
519,2012-11-10,6,8,13,16,30,43,3,30,4,2,2,4,2,2,1,0,1,7,1950601393,32,71115676,1357,1677010,71405,50000,1206248,5000
518,2012-11-03,14,23,30,32,34,38,6,,1,5,1,5,0,1,2,3,0,6,2263804125,34,66582475,1349,1678135,71110,50000,1198970,5000
517,2012-10-27,1,9,12,28,36,41,10,41,3,3,3,3,2,1,1,1,1,5,2659057725,40,55397036,1493,1484181,70854,50000,1192872,5000
516,2012-10-20,2,8,23,41,43,44,30,"2,23",2,4,3,3,2,0,1,0,3,11,1294190182,32,74146313,1338,1773305,67233,50000,1169955,5000
515,2012-10-13,2,11,12,15,23,37,8,15,4,2,4,2,1,3,1,1,0,1,13200466875,35,62859367,1450,1517296,74773,50000,1258039,5000
514,2012-10-06,1,15,20,26,35,42,9,,3,3,3,3,1,2,1,1,1,3,4451055500,36,61820216,1362,1634015,70323,50000,1181166,5000
513,2012-09-29,5,8,21,23,27,33,12,"5,27",3,3,5,1,2,0,3,1,0,3,4589624750,54,42496526,1626,1411324,82270,50000,1337355,5000
512,2012-09-22,4,5,9,13,26,27,1,26,4,2,4,2,3,1,2,0,0,13,940094452,52,39170603,1682,1210982,82439,50000,1318396,5000
511,2012-09-15,3,7,14,23,26,42,24,,3,3,3,3,2,1,2,0,1,6,2165579250,37,58529169,1524,1420984,72310,50000,1209004,5000
510,2012-09-08,12,29,32,33,39,40,42,"12,29",1,5,3,3,0,1,1,4,0,5,2644158150,25,88138605,1319,1670558,69724,50000,1173715,5000
509,2012-09-01,12,25,29,35,42,43,24,"35,43",1,5,4,2,0,1,2,1,2,5,2689076100,34,65908728,1228,1824835,64934,50000,1104261,5000
508,2012-08-25,5,27,31,34,35,43,37,,1,5,5,1,1,0,1,3,1,8,1599557860,31,68798188,1596,1336306,75460,50000,1234049,5000
507,2012-08-18,12,13,32,33,40,41,4,,2,4,3,3,0,2,0,3,1,9,1416438875,29,73264080,1473,1442403,73411,50000,1230314,5000
506,2012-08-11,6,9,11,22,24,30,31,22,4,2,2,4,2,1,3,0,0,3,4073333875,33,61717180,1588,1282536,75289,50000,1224774,5000
505,2012-08-04,7,20,22,25,38,40,44,22,3,3,2,4,1,1,2,2,0,6,1917955188,38,50472505,1440,1331914,69758,50000,1144014,5000
504,2012-07-28,6,14,22,26,43,44,31,,3,3,1,5,1,1,2,0,2,9,1443236959,29,74650188,1294,1672995,63257,50000,1082365,5000
503,2012-07-21,1,5,27,30,34,36,40,34,2,4,3,3,2,0,2,2,0,7,1853634911,42,51489859,1292,1673819,69822,50000,1198882,5000
502,2012-07-14,6,22,28,32,34,40,26,,2,4,0,6,1,0,2,3,0,6,2201458125,31,71014779,1482,1485465,70160,50000,1176131,5000
501,2012-07-07,1,4,10,17,31,42,2,4,4,2,3,3,3,1,0,1,1,4,3025200094,61,33062297,1639,1230507,77235,50000,1272541,5000
500,2012-06-30,3,4,12,20,24,34,41,20,4,2,1,5,2,2,1,1,0,9,1351072375,68,29803068,1831,1106832,84979,50000,1308863,5000
499,2012-06-23,5,20,23,27,35,40,43,,2,4,4,2,1,1,2,2,0,3,4070480250,46,44244351,1514,1344281,76797,50000,1252409,5000
498,2012-06-16,13,14,24,32,39,41,3,24,2,4,3,3,0,2,1,2,1,4,3244503094,35,61800059,1334,1621441,68471,50000,1139612,5000
497,2012-06-09,19,20,23,24,43,44,13,20,2,4,3,3,0,2,2,0,2,6,2222817813,30,74093928,1148,1936253,61101,50000,1073640,5000
496,2012-06-02,4,13,20,29,36,41,39,"4,13",3,3,3,3,1,2,1,1,1,4,3285932250,46,47622207,1389,1577122,66873,50000,1117856,5000
495,2012-05-26,4,13,22,27,34,44,6,,3,3,2,4,1,1,2,1,1,6,2111645000,44,47991932,1568,1346713,75762,50000,1228344,5000
494,2012-05-19,5,7,8,15,30,43,22,,4,2,4,2,3,1,1,0,1,12,1054588407,40,52729421,1539,1370486,74174,50000,1215736,5000
493,2012-05-12,20,22,26,33,36,37,25,"22,37",2,4,2,4,0,1,2,3,0,9,1451120334,27,80617797,1342,1621968,68608,50000,1154415,5000
492,2012-05-05,22,27,31,35,37,40,42,35,1,5,4,2,0,0,2,4,0,5,2493013800,40,51937788,1434,1448753,69327,50000,1152057,5000
491,2012-04-28,8,17,35,36,39,42,4,,2,4,3,3,1,1,0,3,1,4,3304634438,31,71067408,1360,1619919,68290,50000,1133544,5000
490,2012-04-21,2,7,26,29,40,43,42,2,2,4,3,3,2,0,2,1,1,7,1860234161,29,74837007,1357,1599318,65961,50000,1126965,5000
489,2012-04-14,2,4,8,15,20,27,11,"2,8",5,1,2,4,3,2,1,0,0,6,2106360625,52,40506936,1538,1369546,75822,50000,1227452,5000
488,2012-04-07,2,8,17,30,31,38,25,8,3,3,2,4,2,1,1,2,0,10,1330393575,33,67191595,1345,1648567,69224,50000,1181353,5000
487,2012-03-31,4,8,25,27,37,41,21,25,2,4,4,2,2,0,2,1,1,8,1638830766,46,47502342,1587,1376880,76639,50000,1265088,5000
486,2012-03-24,1,2,23,25,38,40,43,,2,4,3,3,2,0,2,2,0,13,1008634125,29,75357722,1501,1455946,72658,50000,1230904,5000
485,2012-03-17,17,22,26,27,36,39,20,27,2,4,3,3,0,1,3,2,0,9,1501474917,33,68248860,1406,1601859,72785,50000,1237898,5000
484,2012-03-10,1,3,27,28,32,45,11,28,2,4,4,2,2,0,2,1,1,6,2305303063,32,72040721,1343,1716533,70285,50000,1197263,5000
483,2012-03-03,12,15,19,22,28,34,5,,4,2,2,4,0,3,2,1,0,5,2567196675,53,40364728,1886,1134322,83480,50000,1300537,5000
482,2012-02-25,1,10,16,24,25,35,43,,3,3,3,3,2,1,2,1,0,7,1897921179,30,73808046,1639,1350971,78522,50000,1292139,5000
481,2012-02-18,3,4,23,29,40,41,20,3,2,4,4,2,2,0,2,1,1,3,4639355750,34,68225820,1294,1792642,66695,50000,1185827,5000
480,2012-02-11,3,5,10,17,30,31,16,,4,2,4,2,3,1,1,1,0,4,2996742282,50,39956564,1983,1007478,96288,50000,1382163,5000
479,2012-02-04,8,23,25,27,35,44,24,,1,5,4,2,1,0,3,1,1,6,2233046500,34,65677839,1389,1607665,71489,50000,1197119,5000
478,2012-01-28,18,29,30,37,39,43,8,29,1,5,4,2,0,1,2,2,1,14,987224759,35,65814984,1285,1792627,67069,50000,1141261,5000
477,2012-01-21,14,25,29,32,33,45,37,,1,5,4,2,0,1,2,2,1,8,1919011829,33,77535832,1474,1735877,73001,50000,1256239,5000
476,2012-01-14,9,12,13,15,37,38,27,9,4,2,4,2,1,3,0,2,0,4,3439851469,34,67448069,1294,1772206,68643,50000,1203577,5000
475,2012-01-07,1,9,14,16,21,29,3,,5,1,4,2,2,2,2,0,0,8,1693923047,33,68441336,1486,1519896,75257,50000,1238055,5000
474,2011-12-31,4,13,18,31,33,45,43,13,3,3,4,2,1,2,0,2,1,15,936690800,48,48785980,1738,1347369,81500,50000,1336085,5000
473,2011-12-24,8,13,20,22,23,36,34,36,4,2,2,4,1,2,2,1,0,4,3250418063,36,60192928,1313,1650378,67064,50000,1148971,5000
472,2011-12-17,16,25,26,31,36,43,44,,1,5,3,3,0,1,2,2,1,7,1809656090,23,91794150,1352,1561587,68212,50000,1132776,5000
471,2011-12-10,6,13,29,37,39,41,43,"39,41",2,4,5,1,1,1,1,2,1,7,1939332858,30,75418500,1219,1856075,63297,50000,1096176,5000
470,2011-12-03,10,16,20,39,41,42,27,,3,3,2,4,1,2,0,1,2,3,4333330625,27,80246864,1390,1558753,71706,50000,1207572,5000
469,2011-11-26,4,21,22,34,37,38,33,37,3,3,2,4,1,0,2,3,0,4,3330131250,33,67275379,1277,1738519,65880,50000,1125554,5000
468,2011-11-19,8,13,15,28,37,43,17,,3,3,4,2,1,2,1,1,1,9,1527197167,33,69418054,1457,1572269,70701,50000,1187572,5000
467,2011-11-12,2,12,14,17,24,40,39,,4,2,1,5,1,3,1,1,0,9,1435441084,33,65247322,1811,1188936,88314,50000,1410192,5000
466,2011-11-05,4,10,13,23,32,44,20,13,3,3,2,4,2,1,1,1,1,9,1530313459,55,41735822,1746,1314703,83132,50000,1327403,5000
465,2011-10-29,1,8,11,13,22,38,31,,5,1,3,3,2,2,1,1,0,7,1923662893,46,48788552,1733,1295023,83244,50000,1356052,5000
464,2011-10-22,6,12,15,34,42,44,4,"34,44",3,3,1,5,1,2,0,1,2,13,3355721106,78,67273025,3145,1668457,159899,50000,2682564,5000
463,2011-10-15,23,29,31,33,34,44,40,,0,6,4,2,0,0,2,3,1,0,0,37,54687384,1254,1613584,62251,50000,1060512,5000
462,2011-10-08,3,20,24,32,37,45,4,37,2,4,3,3,1,1,1,2,1,8,1483559297,39,50719976,1394,1418996,67106,50000,1096569,5000
461,2011-10-01,11,18,26,31,37,40,43,11,2,4,3,3,0,2,1,3,0,6,1948674875,32,60896090,1717,1134931,75605,50000,1188529,5000
460,2011-09-24,8,11,28,30,43,45,41,,2,4,3,3,1,1,2,0,2,4,3180895782,30,70686573,1307,1622493,66799,50000,1130818,5000
459,2011-09-17,4,6,10,14,25,40,12,"4,10,40",4,2,1,5,3,1,1,1,0,7,1655842233,46,41995999,1532,1260977,73084,50000,1167264,5000
458,2011-09-10,4,9,10,32,36,40,18,"10,40",3,3,1,5,3,0,0,3,0,8,1608812625,52,41251606,1433,1496918,72902,50000,1216672,5000
457,2011-09-03,8,10,18,23,27,40,33,"18,23,27",3,3,2,4,2,1,2,1,0,10,1159902825,47,41131306,1506,1283647,72524,50000,1149591,5000
456,2011-08-27,1,7,12,18,23,27,44,,4,2,4,2,2,2,2,0,0,7,1598505054,39,47818528,1616,1154037,75858,50000,1199612,5000
455,2011-08-20,4,19,20,26,30,35,24,,3,3,2,4,1,2,2,1,0,7,1635711483,32,59635315,1448,1317908,69056,50000,1133097,5000
454,2011-08-13,13,25,27,34,38,41,10,38,1,5,4,2,0,1,2,2,1,7,1609125590,43,43658447,1397,1343818,74480,50000,1090420,5000
453,2011-08-06,12,24,33,38,40,42,30,,1,5,1,5,0,1,1,3,1,5,2262732375,36,52378065,1412,1335419,69250,50000,1096036,5000
452,2011-07-30,8,10,18,30,32,34,27,30,3,3,0,6,2,1,1,2,0,9,1276902000,48,39903188,1298,1475619,66864,50000,1112471,5000
451,2011-07-23,12,15,20,24,30,38,29,,3,3,1,5,0,3,2,1,0,13,882138952,31,61654873,1612,1185671,74696,50000,1181075,5000
450,2011-07-16,6,14,19,21,23,31,13,,4,2,4,2,1,2,2,1,0,6,1990391625,34,58540931,1349,1475458,67461,50000,1113967,5000
449,2011-07-09,3,10,20,26,35,43,36,3,3,3,3,3,2,1,1,1,1,3,4059715250,39,52047632,1295,1567458,65963,50000,1114025,5000
448,2011-07-02,3,7,13,27,40,41,36,7,3,3,5,1,2,1,1,1,1,3,4026212750,35,57517325,1422,1415687,72122,50000,1191936,5000
447,2011-06-25,2,7,8,9,17,33,34,,5,1,4,2,4,1,0,1,0,4,2657941125,31,57160025,1721,1029612,84363,50000,1276737,5000
446,2011-06-11,1,11,12,14,26,35,6,,4,2,3,3,1,3,1,1,0,3,4051247625,41,49405459,1375,1473181,68198,50000,1136546,5000
445,2011-06-18,13,20,21,30,39,45,32,"13,45",3,3,4,2,0,2,2,1,1,7,1791683036,28,74653460,1183,1766946,61433,50000,1046503,5000
444,2011-06-04,11,13,23,35,43,45,17,,2,4,6,0,0,2,1,1,2,3,4154188625,26,79888243,1270,1635508,65611,50000,1087892,5000
443,2011-05-28,4,6,10,19,20,44,14,,5,1,1,5,3,2,0,0,1,9,1327597584,41,48570644,1668,1193883,74414,50000,1193233,5000
442,2011-05-21,25,27,29,36,38,40,41,,0,6,3,3,0,0,3,3,0,9,1413413042,27,78522947,1271,1668073,63699,50000,1092813,5000
441,2011-05-14,1,23,28,30,34,35,9,"28,34",1,5,3,3,1,0,3,2,0,4,3170417063,42,50324081,1127,1875432,60027,50000,1045164,5000
440,2011-05-07,10,22,28,34,36,44,2,,2,4,0,6,1,0,2,2,1,6,1995873000,41,48679830,1495,1335033,68428,50000,1103401,5000
439,2011-04-30,17,20,30,31,37,40,25,20,2,4,3,3,0,2,1,3,0,6,1900077375,33,57578103,1437,1322253,75335,50000,1174597,5000
438,2011-04-23,6,12,20,26,29,38,45,"29,38",3,3,1,5,1,2,2,1,0,9,1377142167,41,50383250,1303,1585352,65010,50000,1081763,5000
437,2011-04-16,11,16,29,38,41,44,21,,2,4,3,3,0,2,1,1,2,6,2096245438,33,63522590,1286,1630051,64531,50000,1080539,5000
436,2011-04-09,9,14,20,22,33,34,28,,4,2,2,4,1,2,1,2,0,8,1512266579,44,45826260,1425,1414987,70742,50000,1153313,5000
435,2011-04-02,8,16,26,30,38,45,42,,2,4,1,5,1,1,2,1,1,10,1287550013,31,69223119,1426,1504851,67838,50000,1122280,5000
434,2011-03-26,3,13,20,24,33,37,35,33,3,3,4,2,1,2,1,2,0,8,1480060266,37,53335506,1867,1056998,78263,50000,1217852,5000
433,2011-03-19,19,23,29,33,35,43,27,,1,5,6,0,0,1,2,2,1,11,1182294410,41,52866824,1278,1696041,65906,50000,1112537,5000
432,2011-03-12,2,3,5,11,27,39,33,,4,2,5,1,3,1,1,1,0,5,2299427550,48,39920618,1747,1096846,83754,50000,1331414,5000
